Nome;Sobrenome;E-mail;Empresa;Cargo;Telefone;Celular;Endereço;URL;Linkedin;Variável 1;Variável 2;Variável 3;Grupo;Origem(dropdown);Segmento(dropdown);Quantidade de funcionários(input);Utiliza alguma ferramenta(input)
Rodrigo;Silva;rodrigo.silva@p4sys.com.br;P4Sys;sócio diretor;3214-5698;9976-2314;Rua Azul, 98, Anchieta;http://reev.co;;Variável 1;;; Grupo 1;Origem(dropdown);Segmento(dropdown);Quantidade de funcionários(input);Utiliza alguma ferramenta(input)
Luciano;Costa;lucianoc@mrti.com;MR TI;sócio diretor;3321-7503;99679-4839;Rua Uruguai, 98, São Pedro;;;;Variável 2;; Grupo 1;Origem(dropdown);Segmento(dropdown);Quantidade de funcionários(input);Utiliza alguma ferramenta(input)
Adriano;Fernandes;adriano@sistu.com.br;Sist.u;diretor;3567-9860;98769-7495;Rua da Bahia, 23, Bandeirante;http://outboundmarketing.com.br;;;;Variável 3; Grupo 1;Origem(dropdown);Segmento(dropdown);Quantidade de funcionários(input);Utiliza alguma ferramenta(input)
Wilson;Santos;wilson.santos@vp3.com;VP3;CEO;2111-4647;98742-5648;Av Paraguai, 878, Luz;;;;;; Grupo 1;Origem(dropdown);Segmento(dropdown);Quantidade de funcionários(input);Utiliza alguma ferramenta(input)
Mauricio;Oliveira;mauriciooli@apollos.com.br;Apollos;gerente comercial;3224-6789;98753-7289;Rua Rio Grande, 21, Centro;http://go.outboundmarketing.com.br;;;;; Grupo 2;Origem(dropdown);Segmento(dropdown);Quantidade de funcionários(input);Utiliza alguma ferramenta(input)
Marcelo;Martins;martins@btsys.com;BT Sys;diretor executivo;2875-4365;9824-4278;Av Brasil, 123, Estoril;;https://www.linkedin.com;;;; Grupo 2;Origem(dropdown);Segmento(dropdown);Quantidade de funcionários(input);Utiliza alguma ferramenta(input)
Valmir;Terrão;valmirterrao@brarts.com.br;BRARTS;sócio;3219-3890;92744-5984;Rua Alecrim, 34, Sion;;;;;; Grupo 2;Origem(dropdown);Segmento(dropdown);Quantidade de funcionários(input);Utiliza alguma ferramenta(input)
Francisco;Jardim;jardim@ptconsulting.com;PT Consulting;diretor de vendas;3985-5667;98462-3555;Av Pedro I, 2123, Contagem;;;;;; Grupo 2;Origem(dropdown);Segmento(dropdown);Quantidade de funcionários(input);Utiliza alguma ferramenta(input)
Alceu;Menezes;alceu.menezes@nysi.com.br;NYSI;diretor executivo;3245-7463;98722-2428;Rua Pedra, 23, Vilarinho;;https://www.linkedin.com;;;; Grupo 2;Origem(dropdown);Segmento(dropdown);Quantidade de funcionários(input);Utiliza alguma ferramenta(input)
Luisa;Dias;luisa@optus.com;OPTus;diretor;3444-6785;97654-3575;Rua Ouro Preto, 56, Castelo;;;;;; Grupo 2;Origem(dropdown);Segmento(dropdown);Quantidade de funcionários(input);Utiliza alguma ferramenta(input)
